Event-tag                        med-snr-value            std-snr-value
catalog_1_yrs.txt.92.127       7.221929388755289         1.1007882663007675
catalog_1_yrs.txt.92.87        7.2258457534527585        1.2076088648372765
catalog_1_yrs.txt.92.61        7.4663641812515635        1.2711648810365161
catalog_1_yrs.txt.92.311       7.51618926575476          1.0909375377694752
catalog_1_yrs.txt.92.332       7.620018108886674         1.2058777447711657
catalog_1_yrs.txt.92.265       7.7761366668227545        1.0692718590558234
catalog_1_yrs.txt.92.319       7.81127237363981          1.2898514302366504
catalog_1_yrs.txt.92.262       7.835502327591092         1.0846763510967525
catalog_1_yrs.txt.92.341       7.869720657289777         1.1198592476879339
catalog_1_yrs.txt.92.352       7.871366671658722         1.0890118088181957
catalog_1_yrs.txt.92.297       8.00924917073328          1.1388915626999503
catalog_1_yrs.txt.92.215       8.084915893804828         1.059504431185843
catalog_1_yrs.txt.92.342       8.093194151826546         1.046656432317922
catalog_1_yrs.txt.92.64        8.19140056693194          1.0819201312372495
catalog_1_yrs.txt.92.239       8.231868966102374         1.1296142882864115
catalog_1_yrs.txt.92.374       8.378620021684961         1.160816477305939
catalog_1_yrs.txt.92.326       8.407484979421328         1.240584900490034
catalog_1_yrs.txt.92.243       8.479882149397586         1.1443345384755585
catalog_1_yrs.txt.92.130       8.483712359148115         1.0995772233494636
catalog_1_yrs.txt.92.212       8.679885106054176         1.0968860095626256
catalog_1_yrs.txt.92.71        8.705941799085167         1.071444632383979
catalog_1_yrs.txt.92.195       8.786583507626116         1.4944609290199287
catalog_1_yrs.txt.92.213       8.81677000239711          1.115981172428446
catalog_1_yrs.txt.92.24        8.82816109204916          1.1226409881932449
catalog_1_yrs.txt.92.95        8.88748018563123          1.122211945824158
catalog_1_yrs.txt.92.283       9.11586893354416          1.1347472192339931
catalog_1_yrs.txt.92.2         9.135080463311478         1.0901280799522608
catalog_1_yrs.txt.92.39        9.135682518923971         1.2922336090410693
catalog_1_yrs.txt.92.159       9.395264157963975         1.0837727537912023
catalog_1_yrs.txt.92.99        9.496693666383969         1.1360653005685915
catalog_1_yrs.txt.92.17        9.553281817807141         1.1220370242756932
catalog_1_yrs.txt.92.131       9.559530409610677         1.093756899908737
catalog_1_yrs.txt.92.68        9.663166867600978         1.1088315791647538
catalog_1_yrs.txt.92.97        9.854128353127212         1.1064568842986218
catalog_1_yrs.txt.92.377       9.977185382526013         1.131305116016726
catalog_1_yrs.txt.92.193       10.030088321706348        1.1054059699491765
catalog_1_yrs.txt.92.194       10.351212007577137        1.0842774879777155
catalog_1_yrs.txt.92.55        10.405211601842202        1.0654961827956457
catalog_1_yrs.txt.92.245       10.711928158097042        1.1143586046278664
catalog_1_yrs.txt.92.358       10.781509375330934        1.0484667470422901
catalog_1_yrs.txt.92.329       11.070335122362632        1.0946644745393364
catalog_1_yrs.txt.92.258       11.159577114923739        1.085153690517853
catalog_1_yrs.txt.92.250       11.17548372770249         1.1057091250423459
catalog_1_yrs.txt.92.20        11.545316749121636        1.0641284282258057
